validdate,t_2m:C,global_rad:W,direct_rad:W,diffuse_rad:W,precip_1h:mm,effective_cloud_cover:p
2017-01-01T00:00:00Z,6.3,0.0,0.0,0.0,0.00,24.2
2017-01-01T01:00:00Z,6.1,0.0,0.0,0.0,0.00,27.1
2017-01-01T02:00:00Z,5.9,0.0,0.0,0.0,0.00,30.2
2017-01-01T03:00:00Z,5.7,0.0,0.0,0.0,0.00,33.4
2017-01-01T04:00:00Z,6.3,0.0,0.0,0.0,0.00,32.3
2017-01-01T05:00:00Z,7.6,15.8,9.2,6.6,0.00,31.2
2017-01-01T06:00:00Z,8.5,161.9,100.4,61.5,0.00,30.1
2017-01-01T07:00:00Z,10.9,306.3,204.7,101.5,0.00,26.5
2017-01-01T08:00:00Z,13.2,410.3,289.4,120.9,0.00,22.8
2017-01-01T09:00:00Z,15.4,485.3,350.6,134.7,0.00,19.1
2017-01-01T10:00:00Z,15.7,504.3,372.7,131.5,0.00,20.2
2017-01-01T11:00:00Z,15.9,455.6,329.2,126.4,0.00,21.3
2017-01-01T12:00:00Z,15.9,347.9,233.2,114.7,0.00,22.4
2017-01-01T13:00:00Z,14.2,206.3,126.8,79.5,0.00,31.3
2017-01-01T14:00:00Z,12.4,51.2,30.0,21.2,0.00,39.7
2017-01-01T15:00:00Z,10.6,0.0,0.0,0.0,0.00,47.6
2017-01-01T16:00:00Z,9.6,0.0,0.0,0.0,0.00,49.5
2017-01-01T17:00:00Z,9.0,0.0,0.0,0.0,0.00,51.4
2017-01-01T18:00:00Z,8.4,0.0,0.0,0.0,0.00,53.3
2017-01-01T19:00:00Z,8.0,0.0,0.0,0.0,0.00,48.3
2017-01-01T20:00:00Z,7.6,0.0,0.0,0.0,0.00,43.1
2017-01-01T21:00:00Z,7.1,0.0,0.0,0.0,0.00,37.7
2017-01-01T22:00:00Z,7.4,0.0,0.0,0.0,0.00,39.1
2017-01-01T23:00:00Z,7.6,0.0,0.0,0.0,0.00,40.7
2017-01-02T00:00:00Z,7.8,0.0,0.0,0.0,0.00,42.4
2017-01-02T01:00:00Z,7.8,0.0,0.0,0.0,0.00,40.3
2017-01-02T02:00:00Z,7.7,0.0,0.0,0.0,0.00,38.1
2017-01-02T03:00:00Z,7.7,0.0,0.0,0.0,0.00,36.0
2017-01-02T04:00:00Z,8.3,0.0,0.0,0.0,0.00,39.3
